epoch,loss,lr,timestamp
1,5.189242,0.00300000,1772907202.6609242
2,3.765207,0.03270000,1772907267.4072988
3,2.399442,0.06240000,1772907332.3563998
4,1.793169,0.09210000,1772907397.4284744
5,1.517778,0.12180000,1772907462.3558457
6,1.338770,0.15150000,1772907525.9772322
7,1.219250,0.18120000,1772907589.4483893
8,1.133101,0.21090000,1772907652.8601296
9,1.084616,0.24060000,1772907716.214327
10,1.050558,0.27030000,1772907779.4618976
11,1.013001,0.30000000,1772907843.5014915
12,0.961080,0.29999881,1772907906.985426
13,0.903639,0.29999526,1772907970.4858024
14,0.888550,0.29998933,1772908034.0675416
15,0.853042,0.29998102,1772908097.5721047
16,0.832160,0.29997035,1772908161.159306
17,0.817425,0.29995730,1772908224.6898904
18,0.792808,0.29994189,1772908288.4041176
19,0.790232,0.29992410,1772908351.8374672
20,0.768730,0.29990394,1772908415.4192896
21,0.761018,0.29988141,1772908479.3126805
22,0.759453,0.29985651,1772908542.668729
23,0.750116,0.29982924,1772908606.2034936
24,0.738373,0.29979960,1772908669.7396078
25,0.724380,0.29976759,1772908733.1136153
26,0.712635,0.29973322,1772908796.611176
27,0.716475,0.29969647,1772908860.1132975
28,0.705228,0.29965736,1772908923.7359586
29,0.695662,0.29961588,1772908987.194917
30,0.689727,0.29957204,1772909050.7286608
31,0.687904,0.29952583,1772909114.3608105
32,0.690156,0.29947725,1772909178.0753984
33,0.681118,0.29942631,1772909241.6457732
34,0.680807,0.29937301,1772909305.0219321
35,0.668568,0.29931735,1772909368.563061
36,0.685147,0.29925933,1772909431.831007
37,0.658759,0.29919894,1772909495.1835399
38,0.662175,0.29913620,1772909558.7681603
39,0.654256,0.29907109,1772909622.3971932
40,0.665317,0.29900363,1772909685.7455142
41,0.649208,0.29893381,1772909749.594456
42,0.646713,0.29886164,1772909812.8927689
43,0.646702,0.29878712,1772909876.5070965
44,0.633806,0.29871024,1772909939.9198556
45,0.639068,0.29863101,1772910003.2689276
46,0.632926,0.29854942,1772910066.7058024
47,0.627607,0.29846549,1772910130.1041284
48,0.645101,0.29837922,1772910193.3643954
49,0.623431,0.29829059,1772910256.8390896
50,0.631519,0.29819962,1772910320.6126094
51,0.616928,0.29810631,1772910384.2371771
52,0.622908,0.29801065,1772910447.9744549
53,0.617948,0.29791266,1772910511.3135562
54,0.611010,0.29781232,1772910574.6526976
55,0.604664,0.29770965,1772910637.8791075
56,0.620937,0.29760464,1772910701.1870399
57,0.615074,0.29749730,1772910764.5505764
58,0.609807,0.29738762,1772910827.9262824
59,0.598796,0.29727561,1772910891.2773235
60,0.602622,0.29716128,1772910954.6488976
61,0.594867,0.29704461,1772911018.1063673
62,0.600628,0.29692563,1772911081.6153147
63,0.609299,0.29680432,1772911144.872664
64,0.613521,0.29668068,1772911208.2748194
65,0.597406,0.29655473,1772911271.7410939
66,0.593679,0.29642646,1772911335.6927342
67,0.589273,0.29629587,1772911398.9454749
68,0.581772,0.29616297,1772911462.17119
69,0.606726,0.29602776,1772911525.8131077
70,0.589104,0.29589024,1772911589.1982858
71,0.599521,0.29575042,1772911652.728431
72,0.597482,0.29560828,1772911716.0507922
73,0.589587,0.29546385,1772911779.407176
74,0.583908,0.29531711,1772911842.7400417
75,0.585675,0.29516808,1772911905.9769673
76,0.584975,0.29501675,1772911969.2056026
77,0.588359,0.29486313,1772912032.5779283
78,0.587664,0.29470721,1772912096.0168247
79,0.579231,0.29454901,1772912159.358788
80,0.591078,0.29438853,1772912222.7713234
81,0.578908,0.29422575,1772912286.2940457
82,0.572933,0.29406070,1772912349.6941504
83,0.584555,0.29389337,1772912412.9994986
84,0.586883,0.29372377,1772912476.2543268
85,0.579770,0.29355189,1772912539.8286967
86,0.578774,0.29337774,1772912602.9842472
87,0.581262,0.29320133,1772912666.3032143
88,0.580960,0.29302265,1772912729.884307
89,0.576383,0.29284170,1772912793.0420468
90,0.567377,0.29265850,1772912856.275388
91,0.576775,0.29247304,1772912919.7070837
92,0.579021,0.29228533,1772912982.9768102
93,0.574309,0.29209537,1772913046.217855
94,0.571209,0.29190317,1772913109.5394595
95,0.571514,0.29170872,1772913172.7745442
96,0.576022,0.29151202,1772913236.0320156
97,0.567700,0.29131309,1772913299.2068508
98,0.574065,0.29111193,1772913362.5643349
99,0.562321,0.29090853,1772913425.9653654
100,0.563432,0.29070291,1772913489.0475733
101,0.572579,0.29049506,1772913552.3636332
102,0.570769,0.29028498,1772913615.5097346
103,0.555864,0.29007269,1772913678.796865
104,0.560342,0.28985819,1772913742.0243888
105,0.562183,0.28964147,1772913805.3275754
106,0.569286,0.28942255,1772913868.5054498
107,0.569347,0.28920142,1772913931.6609561
108,0.568612,0.28897808,1772913994.82679
109,0.559465,0.28875256,1772914058.0539825
110,0.561884,0.28852483,1772914121.2094088
111,0.564324,0.28829492,1772914184.4793184
112,0.560456,0.28806282,1772914247.6524253
113,0.560785,0.28782853,1772914311.0219042
114,0.562245,0.28759207,1772914374.7442112
115,0.560276,0.28735343,1772914438.501339
116,0.553579,0.28711261,1772914502.2849443
117,0.554599,0.28686963,1772914566.1186996
118,0.566769,0.28662449,1772914629.8726249
119,0.557080,0.28637718,1772914693.9186924
120,0.553483,0.28612772,1772914757.8319242
121,0.561255,0.28587611,1772914821.8223338
122,0.549478,0.28562234,1772914885.8336673
123,0.567093,0.28536643,1772914949.8372066
124,0.550401,0.28510838,1772915013.677579
125,0.549280,0.28484820,1772915077.6129518
126,0.557626,0.28458588,1772915141.4698732
127,0.555323,0.28432143,1772915205.5003757
128,0.546916,0.28405486,1772915269.4866369
129,0.549555,0.28378617,1772915333.4093435
130,0.551874,0.28351537,1772915397.3726618
131,0.546640,0.28324245,1772915461.3218215
132,0.548479,0.28296742,1772915524.993577
133,0.559725,0.28269029,1772915588.841848
134,0.554945,0.28241107,1772915652.67817
135,0.545201,0.28212975,1772915717.0230677
136,0.545105,0.28184634,1772915780.9392154
137,0.547300,0.28156084,1772915844.944293
138,0.543558,0.28127327,1772915909.1491337
139,0.543537,0.28098362,1772915973.132453
140,0.549175,0.28069190,1772916037.355833
141,0.540660,0.28039811,1772916101.6038864
142,0.550292,0.28010226,1772916165.4801571
143,0.545207,0.27980435,1772916229.3443625
144,0.540638,0.27950438,1772916293.3349762
145,0.543752,0.27920238,1772916357.4304721
146,0.543244,0.27889832,1772916421.2964056
147,0.538348,0.27859223,1772916485.2993565
148,0.547630,0.27828411,1772916549.1362767
149,0.536661,0.27797395,1772916613.3217819
150,0.553892,0.27766178,1772916677.4110074
151,0.543977,0.27734758,1772916741.3235338
152,0.538318,0.27703137,1772916805.3590326
153,0.537291,0.27671315,1772916869.2439504
154,0.547674,0.27639293,1772916933.1249638
155,0.530108,0.27607071,1772916997.1604772
156,0.536116,0.27574649,1772917061.0461843
157,0.537328,0.27542029,1772917124.968825
158,0.532495,0.27509210,1772917189.2323766
159,0.534720,0.27476194,1772917253.5344474
160,0.539601,0.27442980,1772917317.6478934
161,0.536312,0.27409569,1772917381.76526
162,0.532494,0.27375962,1772917445.900198
163,0.537604,0.27342160,1772917509.9268923
164,0.534162,0.27308162,1772917573.8576071
165,0.532978,0.27273970,1772917637.8042548
166,0.530242,0.27239583,1772917701.766791
