epoch,loss,lr,timestamp
1,1.356150,0.00300000,1772907255.2265303
2,1.269472,0.03270000,1772907319.843084
3,1.046867,0.06240000,1772907384.7150605
4,0.966724,0.09210000,1772907449.8765395
5,0.901022,0.12180000,1772907513.461086
6,0.865382,0.15150000,1772907576.796552
7,0.834897,0.18120000,1772907640.117295
8,0.799962,0.21090000,1772907703.4554517
9,0.811238,0.24060000,1772907766.7649033
10,0.795935,0.27030000,1772907830.0921757
11,0.792470,0.30000000,1772907893.89372
12,0.739964,0.29999881,1772907957.3973987
13,0.719679,0.29999526,1772908020.9946542
14,0.698841,0.29998933,1772908084.4464152
15,0.671947,0.29998102,1772908148.0265787
16,0.667540,0.29997035,1772908211.6134942
17,0.654976,0.29995730,1772908275.273592
18,0.652780,0.29994189,1772908338.8288145
19,0.637069,0.29992410,1772908402.2044923
20,0.630681,0.29990394,1772908465.6141353
21,0.640538,0.29988141,1772908529.4535522
22,0.625413,0.29985651,1772908592.8911948
23,0.622290,0.29982924,1772908656.5283337
24,0.624088,0.29979960,1772908720.017408
25,0.621343,0.29976759,1772908783.508237
26,0.616946,0.29973322,1772908847.0537128
27,0.607087,0.29969647,1772908910.532665
28,0.607558,0.29965736,1772908974.1457708
29,0.610082,0.29961588,1772909037.7269025
30,0.611857,0.29957204,1772909101.1852486
31,0.601398,0.29952583,1772909165.1099045
32,0.597888,0.29947725,1772909228.7922602
33,0.587758,0.29942631,1772909292.271873
34,0.595070,0.29937301,1772909355.7369184
35,0.603569,0.29931735,1772909419.1488898
36,0.589202,0.29925933,1772909482.4883628
37,0.582538,0.29919894,1772909545.9813492
38,0.586673,0.29913620,1772909609.5281126
39,0.589696,0.29907109,1772909672.8885486
40,0.577153,0.29900363,1772909736.297898
41,0.586649,0.29893381,1772909800.0248778
42,0.580339,0.29886164,1772909863.376739
43,0.572200,0.29878712,1772909926.8244116
44,0.581369,0.29871024,1772909990.2506878
45,0.582352,0.29863101,1772910053.6146865
46,0.570379,0.29854942,1772910117.1013157
47,0.578033,0.29846549,1772910180.5176356
48,0.569651,0.29837922,1772910243.9744136
49,0.566650,0.29829059,1772910307.3503623
50,0.581114,0.29819962,1772910370.9647725
51,0.571768,0.29810631,1772910434.9694872
52,0.577318,0.29801065,1772910498.3070116
53,0.560393,0.29791266,1772910561.6176226
54,0.557845,0.29781232,1772910625.0264506
55,0.574006,0.29770965,1772910688.276644
56,0.555585,0.29760464,1772910751.400078
57,0.565434,0.29749730,1772910814.667942
58,0.574747,0.29738762,1772910877.9816957
59,0.560848,0.29727561,1772910941.2311168
60,0.562536,0.29716128,1772911004.2369528
61,0.546608,0.29704461,1772911067.9111357
62,0.566005,0.29692563,1772911131.3873293
63,0.560532,0.29680432,1772911194.7465825
64,0.558958,0.29668068,1772911258.1618273
65,0.551470,0.29655473,1772911322.3494344
66,0.548800,0.29642646,1772911385.756961
67,0.557683,0.29629587,1772911449.0047174
68,0.548621,0.29616297,1772911512.514346
69,0.551651,0.29602776,1772911575.7233655
70,0.559459,0.29589024,1772911639.1677544
71,0.553521,0.29575042,1772911702.8784006
72,0.552887,0.29560828,1772911766.3957393
73,0.546966,0.29546385,1772911829.7386088
74,0.555298,0.29531711,1772911892.9817147
75,0.551326,0.29516808,1772911956.191844
76,0.550542,0.29501675,1772912019.715838
77,0.550911,0.29486313,1772912082.9809203
78,0.552139,0.29470721,1772912146.3308353
79,0.553672,0.29454901,1772912209.6045363
80,0.549509,0.29438853,1772912273.1213288
81,0.543730,0.29422575,1772912336.6785815
82,0.552033,0.29406070,1772912399.883071
83,0.544041,0.29389337,1772912463.0615664
84,0.538042,0.29372377,1772912526.272934
85,0.550427,0.29355189,1772912590.1657844
86,0.550983,0.29337774,1772912653.4563248
87,0.545852,0.29320133,1772912717.1815395
88,0.533105,0.29302265,1772912780.3638499
89,0.553391,0.29284170,1772912843.529651
90,0.539618,0.29265850,1772912906.7050898
