📉 Dashboard already running at http://localhost:7860 — skipping.
🚀 Pretraining SimCLR with resnet18 for 800 epochs
📁 Checkpoints → /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt
[Epoch 85/800] Loss: 0.5504  LR: 0.293552
[Epoch 86/800] Loss: 0.5510  LR: 0.293378
[Epoch 87/800] Loss: 0.5459  LR: 0.293201
[Epoch 88/800] Loss: 0.5331  LR: 0.293023
[Epoch 89/800] Loss: 0.5534  LR: 0.292842
[Epoch 90/800] Loss: 0.5396  LR: 0.292659
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_90.pth
[Epoch 91/800] Loss: 0.5447  LR: 0.292473
[Epoch 92/800] Loss: 0.5411  LR: 0.292285
[Epoch 93/800] Loss: 0.5479  LR: 0.292095
[Epoch 94/800] Loss: 0.5418  LR: 0.291903
[Epoch 95/800] Loss: 0.5343  LR: 0.291709
[Epoch 96/800] Loss: 0.5390  LR: 0.291512
[Epoch 97/800] Loss: 0.5420  LR: 0.291313
[Epoch 98/800] Loss: 0.5428  LR: 0.291112
[Epoch 99/800] Loss: 0.5375  LR: 0.290909
[Epoch 100/800] Loss: 0.5357  LR: 0.290703
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_100.pth
[Epoch 101/800] Loss: 0.5537  LR: 0.290495
[Epoch 102/800] Loss: 0.5289  LR: 0.290285
[Epoch 103/800] Loss: 0.5293  LR: 0.290073
[Epoch 104/800] Loss: 0.5335  LR: 0.289858
[Epoch 105/800] Loss: 0.5312  LR: 0.289641
[Epoch 106/800] Loss: 0.5426  LR: 0.289423
[Epoch 107/800] Loss: 0.5375  LR: 0.289201
[Epoch 108/800] Loss: 0.5365  LR: 0.288978
[Epoch 109/800] Loss: 0.5387  LR: 0.288753
[Epoch 110/800] Loss: 0.5352  LR: 0.288525
Saved checkpoint: /mnt/c/Users/User/PycharmProjects/representation-learning-label-efficienc/checkpoints/simclr_pretrain_resnet18_pt/simclr_epoch_110.pth
[Epoch 111/800] Loss: 0.5428  LR: 0.288295
[Epoch 112/800] Loss: 0.5345  LR: 0.288063
[Epoch 113/800] Loss: 0.5200  LR: 0.287829
[Epoch 114/800] Loss: 0.5343  LR: 0.287592
[Epoch 115/800] Loss: 0.5382  LR: 0.287353
[Epoch 116/800] Loss: 0.5298  LR: 0.287113
[Epoch 117/800] Loss: 0.5347  LR: 0.286870
[Epoch 118/800] Loss: 0.5338  LR: 0.286624
[Epoch 119/800] Loss: 0.5243  LR: 0.286377
